策略,全量,全量pct,Qdn,Qdpct,Qen,Qepct,Qifn,Qifpct,Qicn,Qicpct,Qimitn,Qimitpct,Qinn,Qinpct,Qstn,Qstpct
上3+BSHA3+周门,1863132,0.4822819853880455,76004.0,0.29777380137887477,62562.0,0.33961510181899557,131700.0,0.47031890660592257,215550.0,0.49147297610763163,937873.0,0.49753218186257625,354323.0,0.49923092771284955,85120.0,0.5085408834586466
上2+BSHA3,210675,0.47659665361338555,3042.0,0.31788297172912555,3421.0,0.2987430575855013,12227.0,0.46119244295411793,22290.0,0.4768954688200987,113115.0,0.48126243203819125,45689.0,0.4889798419750925,10891.0,0.4930676705536682
上3+BSHA3,3223895,0.45554089075481674,119966.0,0.2852724938732641,98321.0,0.3354522431627018,208597.0,0.4452748601370106,356461.0,0.46258075918543684,1644666.0,0.4673271047130542,640103.0,0.46968066076865755,155781.0,0.47756144844364845
上4+连阳,373041,0.45502505086572254,24949.0,0.2109102569241252,19748.0,0.24432853959894674,23487.0,0.4588495763613914,38238.0,0.4830273549871855,182071.0,0.4869638767294078,68746.0,0.48852296860908273,15802.0,0.5165801797240855
上3+连阳,1394319,0.4485788402797351,114827.0,0.20199952972732893,80093.0,0.24390396164458816,91308.0,0.45145003723660576,145900.0,0.47982179575051404,650863.0,0.4874727861316437,252389.0,0.4914873469129003,58939.0,0.5120718030506116
上2+连阳,130016,0.4366001107555993,6697.0,0.14663282066596983,5523.0,0.21437624479449574,8502.0,0.42684074335450484,13519.0,0.45831792292329315,65105.0,0.4652330850165118,25148.0,0.4676316208048354,5522.0,0.4934806229626947
上1+连阳,570573,0.42285562057791026,44918.0,0.17910414533149294,33483.0,0.18528805662575037,38598.0,0.41235297165656254,59716.0,0.4536807555763949,268075.0,0.4679772451739252,103098.0,0.46181303226056764,22685.0,0.48260965395635885
下4+连阳,48968,0.4159859500081686,3456.0,0.19849537037037038,2566.0,0.2260327357755261,3303.0,0.4066000605510142,5227.0,0.43964032906064665,23536.0,0.44752719238613187,8884.0,0.4508104457451598,1996.0,0.4634268537074148
上4+层主+升排,189332,0.4151384868907528,13124.0,0.16686985675099056,15565.0,0.17115322839704464,11814.0,0.42204164550533263,18370.0,0.4562329885683179,87983.0,0.46305536296784605,34611.0,0.45872699430816793,7865.0,0.4780673871582963
上2+层主+升排,69249,0.40217187251801473,4783.0,0.11938114154296467,4338.0,0.1620562471184878,4358.0,0.4040844424047728,6965.0,0.43876525484565687,32921.0,0.4450958354849488,12904.0,0.44366088034717915,2980.0,0.4634228187919463
上4+层主,688035,0.3938171749983649,64916.0,0.1574650317333169,54556.0,0.1723183517853215,42777.0,0.408420412838675,66965.0,0.4415739565444635,311033.0,0.4473255249442985,120203.0,0.4362952671730323,27585.0,0.46108392242160595
上1+层主,291862,0.39084224736348,29677.0,0.15277824577955992,20758.0,0.15940842084979284,18895.0,0.3949722148716592,29226.0,0.43464723191678645,130924.0,0.44757263756072224,50735.0,0.43577412042968366,11647.0,0.4598609083884262
上2+层主,99951,0.3870996788426329,7433.0,0.11879456477868963,6442.0,0.15150574355790128,6297.0,0.38446879466412576,10002.0,0.4225154969006199,47128.0,0.43307587845866574,18464.0,0.4283470537261698,4185.0,0.44587813620071687
上1+层主+升排,125492,0.38237497210977595,11115.0,0.13612235717498875,8420.0,0.15890736342042755,8503.0,0.38280606844643067,12850.0,0.4255252918287938,57116.0,0.4308775124308425,22262.0,0.4263767855538586,5226.0,0.4418293149636433
基准-Qst,831468,0.3817212448344374,,,,,,,,,,,,,,
上3+层主+升排,1618783,0.37694613793201437,212971.0,0.13059994083701537,145386.0,0.164720124358604,104191.0,0.4064074632165926,156593.0,0.43835292765321565,672111.0,0.4473695565167063,265605.0,0.4432070179401743,61926.0,0.46902754901010885
基准-Qimit,9077791,0.37225576134105753,,,,,,,,,,,,,,
