DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHA>0,下日DSHA>1,下日DSHA>3,均HR,中位HR
唏,忐,中,10276,59.3,58.6,27.5,72.6,36.1,8.9,1.77,1.18
唏,忐,下,2504,24.9,23.9,11.9,52.7,21.0,4.7,1.58,1.1
唏,忐,忐,861,80.6,77.0,76.7,95.5,85.9,48.7,2.03,1.21
唏,忐,忠,35,42.9,40.0,34.3,88.6,45.7,14.3,0.78,0.49
唏,忐,忑,105,39.0,38.1,28.6,79.0,37.1,4.8,1.08,0.74
唏,忠,上,1948,67.8,59.7,57.0,88.8,69.0,21.8,1.41,0.87
唏,忠,中,919,40.7,36.1,25.6,69.3,34.4,7.2,1.45,0.97
唏,忠,下,1225,18.4,16.7,11.5,49.9,19.8,4.6,1.44,0.93
唏,忠,忐,370,70.5,63.8,63.5,91.6,80.8,34.9,1.81,0.87
唏,忠,忠,40,42.5,40.0,40.0,80.0,65.0,12.5,1.26,0.72
唏,忠,忑,150,26.7,26.0,24.0,66.7,39.3,9.3,1.3,0.78
唏,忑,上,982,66.0,33.6,33.6,92.1,60.4,16.8,1.42,0.86
唏,忑,中,505,46.7,24.8,23.6,75.4,34.3,6.7,1.37,0.91
唏,忑,下,4115,15.7,10.3,8.4,38.7,16.3,3.5,1.41,0.93
唏,忑,忐,1302,69.4,36.3,36.3,97.6,82.4,32.1,1.61,1.03
唏,忑,忠,1264,44.4,18.5,18.5,93.7,67.8,20.0,1.47,0.91
唏,忑,忑,14491,7.8,3.7,3.6,43.1,18.4,4.2,1.53,1.05
屎,上,上,225124,73.3,73.0,68.5,97.6,85.0,42.5,2.01,1.16
屎,上,中,39506,30.0,29.9,19.9,77.1,39.0,9.0,1.66,1.13
屎,上,下,34735,12.8,12.6,8.9,55.6,25.0,5.9,1.61,1.11
屎,上,忐,26309,51.7,49.9,49.5,98.5,87.1,38.2,1.63,1.01
屎,上,忠,6165,28.1,26.8,26.1,96.0,70.5,21.1,1.51,0.95
屎,上,忑,14429,15.0,14.7,13.2,78.1,41.5,9.9,1.52,0.98
屎,中,上,696,57.9,23.6,23.6,56.6,34.1,6.9,0.8,0.01
屎,中,中,266,32.3,16.2,16.2,63.5,26.3,4.9,0.95,0.54
