DXEF,DXCD,DXAB,样本,DSHR>0_全量,DSHR>0_Qd,DSHR>0_Qe,DSHR>0_Qif,DSHR>0_Qic,DSHR>0_Qimit,DSHR>0_Qin,DSHR>1_全量,DSHR>1_Qd,DSHR>1_Qe,DSHR>1_Qif,DSHR>1_Qic,DSHR>1_Qimit,DSHR>1_Qin,DSHR>2_全量,DSHR>2_Qd,DSHR>2_Qe,DSHR>2_Qif,DSHR>2_Qic,DSHR>2_Qimit,DSHR>2_Qin
屎,下,忑,262425,84.6,83.8,78.2,81.7,84.2,85.5,85.7,52.2,31.9,33.4,49.9,54.6,56.5,57.0,26.2,8.9,11.0,24.5,27.7,29.8,30.5
屎,忐,上,840612,83.8,84.8,79.9,81.9,83.7,84.0,84.3,53.6,32.2,38.7,53.6,56.7,57.4,57.7,32.0,11.6,17.5,31.2,34.0,35.7,36.2
屎,忐,中,91467,87.2,87.1,83.8,84.0,87.3,87.9,87.4,56.5,33.7,41.7,54.1,58.2,59.9,60.0,30.9,13.4,16.9,29.8,31.4,33.8,33.9
屎,忐,下,23043,86.5,84.5,78.6,85.2,85.1,87.5,87.4,55.5,31.1,35.3,51.8,56.7,59.2,58.8,30.6,11.2,16.3,28.5,31.2,33.1,33.8
屎,忐,忐,17842,83.4,84.2,69.7,80.6,82.4,84.2,85.8,52.5,21.3,28.4,50.3,54.5,58.0,60.6,31.4,6.7,12.2,27.2,32.2,36.6,36.7
屎,忐,忠,1052,81.3,68.9,72.3,76.8,82.9,83.6,83.1,50.9,21.3,34.9,44.6,55.2,53.9,56.6,30.4,11.5,16.9,16.1,32.4,32.4,37.5
屎,忐,忑,2642,83.4,80.6,73.3,84.1,84.5,84.5,83.2,50.6,34.7,30.7,49.4,56.3,53.3,51.4,26.6,13.3,17.8,22.6,30.3,28.8,27.4
屎,忠,上,761773,84.2,83.9,77.1,80.8,83.2,85.1,85.3,52.1,32.9,36.4,51.4,54.4,55.6,56.0,29.0,11.2,15.6,29.2,31.2,32.0,32.5
屎,忠,中,122721,86.2,85.6,77.9,83.0,85.7,87.3,87.2,54.4,34.6,36.6,52.9,55.6,58.0,58.1,29.1,14.6,14.8,28.6,30.5,31.9,31.8
屎,忠,下,58732,85.9,82.7,76.4,83.0,85.3,87.3,86.8,54.6,30.2,34.6,51.6,55.7,58.5,58.1,29.2,12.6,14.6,27.3,30.6,31.7,31.9
屎,忠,忐,64561,82.8,84.1,73.2,79.4,81.8,83.9,83.7,51.9,28.5,29.8,49.4,54.0,56.9,58.1,30.8,10.3,13.8,28.7,32.6,35.2,35.4
屎,忠,忠,3729,82.3,80.8,71.8,79.0,81.7,84.4,83.0,49.8,26.5,30.2,50.6,50.8,53.3,55.7,28.1,7.9,11.8,23.6,30.3,31.4,33.1
屎,忠,忑,8504,83.2,84.4,71.1,82.0,84.7,83.4,84.3,50.4,30.7,30.5,50.2,52.7,53.9,51.4,28.1,11.2,13.0,27.3,29.9,30.7,29.5
屎,忑,上,260251,84.1,83.7,71.7,80.1,82.5,85.8,86.0,51.5,32.2,31.1,48.6,52.1,55.4,56.3,27.8,11.4,11.7,26.2,28.9,30.8,31.8
屎,忑,中,62595,84.8,83.4,75.3,80.7,83.3,86.5,85.7,53.6,34.1,35.2,49.8,52.9,57.8,57.2,29.0,12.9,14.3,25.3,29.2,32.3,32.3
屎,忑,下,201933,85.0,82.7,74.6,82.6,83.9,86.7,86.6,52.6,30.4,30.4,49.7,53.8,57.4,58.4,27.3,10.1,11.8,25.4,28.3,30.9,31.6
屎,忑,忐,421283,83.0,83.0,75.7,78.9,81.5,84.0,84.4,50.6,30.5,33.5,47.4,51.4,54.4,55.6,28.7,11.9,15.3,26.4,29.4,31.6,33.1
屎,忑,忠,654977,82.2,80.0,75.6,77.1,80.3,83.5,84.0,49.7,31.6,33.9,45.9,49.5,53.2,54.4,27.4,13.0,14.5,25.1,27.3,30.0,31.4
屎,忑,忑,2997237,83.9,82.6,78.3,80.9,82.9,85.2,84.7,52.2,34.6,37.0,49.3,53.2,56.1,55.7,27.7,13.1,15.9,25.6,28.1,30.5,30.9
尿,上,上,5816,80.8,87.0,62.8,85.1,87.1,84.2,87.5,49.4,19.1,20.9,55.5,61.0,60.9,62.1,30.2,8.8,6.6,33.8,39.2,39.5,40.7
尿,上,中,523,79.0,93.1,49.1,90.6,85.0,89.3,79.8,48.6,20.7,8.8,68.8,60.0,62.5,61.9,29.1,3.4,4.4,37.5,40.0,38.4,38.1
尿,上,下,557,80.3,63.9,58.7,73.9,98.0,86.0,84.2,53.0,13.9,29.3,52.2,68.0,61.6,59.6,27.5,2.8,8.7,26.1,48.0,32.6,30.7
尿,上,忐,1474,82.0,90.3,56.4,73.2,86.6,89.0,88.4,47.2,23.6,15.6,43.7,55.9,59.3,62.7,27.1,6.9,5.8,26.8,30.7,35.5,39.9
